,module
Sym_106065_c0_g2,0
Sym_106070_c0_g1,0
Sym_106071_c2_g1,1
Sym_106073_c6_g1,0
Sym_106081_c0_g1,0
Sym_106087_c0_g2,0
Sym_106102_c0_g1,0
Sym_106121_c0_g1,0
Sym_106193_c0_g1,0
Sym_106212_c5_g1,0
Sym_106248_c1_g1,0
Sym_106261_c0_g1,0
Sym_106290_c1_g2,1
Sym_106322_c1_g1,1
Sym_106322_c3_g1,0
Sym_106346_c4_g1,0
Sym_106401_c2_g1,0
Sym_106403_c0_g1,1
Sym_106405_c2_g1,0
Sym_106410_c0_g1,1
Sym_106419_c3_g5,1
Sym_106420_c0_g2,0
Sym_106435_c4_g1,1
Sym_106438_c0_g1,1
Sym_106467_c0_g1,0
Sym_106469_c8_g1,0
Sym_106476_c4_g3,0
Sym_106481_c1_g1,1
Sym_106481_c2_g1,0
Sym_106482_c0_g1,0
Sym_106483_c2_g2,1
Sym_106483_c2_g3,1
Sym_106483_c3_g1,1
Sym_106483_c3_g3,1
Sym_106483_c3_g4,1
Sym_106483_c3_g6,1
Sym_10648_c0_g1,1
Sym_106497_c4_g4,0
Sym_1064_c0_g1,0
Sym_106511_c2_g1,1
Sym_106514_c0_g1,0
Sym_106514_c0_g2,0
Sym_106542_c2_g2,1
Sym_106542_c2_g3,1
Sym_106545_c0_g1,0
Sym_106555_c2_g4,0
Sym_106557_c1_g1,1
Sym_106557_c2_g1,0
Sym_1065_c0_g1,0
Sym_106617_c1_g1,0
Sym_106617_c2_g1,1
Sym_106617_c4_g1,0
Sym_10662_c0_g1,1
Sym_106636_c7_g3,0
Sym_106636_c7_g4,0
Sym_106662_c2_g1,1
Sym_106663_c1_g1,0
Sym_10666_c0_g1,1
Sym_106682_c4_g1,1
Sym_106699_c1_g3,1
Sym_106699_c2_g1,0
Sym_106715_c6_g13,0
Sym_106727_c0_g1,1
Sym_106739_c5_g1,0
Sym_106752_c2_g1,0
Sym_106752_c4_g4,0
Sym_106763_c0_g1,0
Sym_106768_c0_g1,0
Sym_106862_c0_g1,0
Sym_106862_c3_g1,1
Sym_106872_c6_g1,1
Sym_106875_c3_g1,1
Sym_106886_c1_g1,1
Sym_106896_c4_g5,1
Sym_106900_c1_g1,0
Sym_106900_c1_g3,0
Sym_106900_c1_g4,0
Sym_106900_c1_g7,0
Sym_106900_c2_g1,1
Sym_106925_c0_g1,0
Sym_106941_c0_g1,0
Sym_106941_c0_g3,1
Sym_106948_c1_g1,1
Sym_106948_c2_g1,0
Sym_106948_c3_g2,0
Sym_106989_c1_g1,1
Sym_106989_c2_g1,0
Sym_106989_c2_g2,1
Sym_106989_c2_g3,0
Sym_106992_c0_g1,0
Sym_107022_c3_g4,0
Sym_107034_c1_g1,0
Sym_107044_c4_g4,1
Sym_107063_c6_g1,0
