,kMEturquoise
Sym_103230_c5_g1,0.177134925285589
Sym_103230_c5_g2,-0.0686507593438849
Sym_103230_c6_g3,-0.20419074421239
Sym_103230_c6_g5,-0.049740567017486
Sym_10324_c0_g1,-0.0325353458849443
Sym_103259_c1_g1,-0.520768553030723
Sym_103259_c1_g2,-0.450840052146328
Sym_103259_c1_g3,-0.0992201534004304
Sym_103259_c1_g4,-0.594704280840386
Sym_103259_c2_g1,0.357559735206455
Sym_103264_c0_g1,0.0345725854027753
Sym_103270_c0_g1,0.627132151738568
Sym_103270_c0_g3,-0.124633082768144
Sym_103270_c0_g4,0.695303399204827
Sym_103279_c2_g1,-0.871736206946671
Sym_103284_c0_g1,0.371822270413734
Sym_103284_c0_g3,0.841381208230757
Sym_103284_c0_g4,0.121786667109288
Sym_103301_c0_g1,-0.749452012238132
Sym_103304_c0_g1,-0.11060520432195
Sym_103304_c0_g2,0.176198941303193
Sym_103304_c0_g3,0.0978679518843691
Sym_103304_c0_g4,-0.575558291292945
Sym_103312_c0_g1,0.277807277818642
Sym_103313_c5_g1,0.550743879115415
Sym_103340_c0_g1,-0.0462137278493354
